ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate,zeros,zeros+1
29,1938,high school,56982.0,3.8,3.4,5,0,10
25,1786,associate's degree,60544.0,3.2,3.1,7,0,14
29,2006,high school,38779.0,3.8,3.2,5,0,10
30,2042,some college,35706.0,3.9,3.2,5,0,10
30,2126,master's degree,112920.0,4.0,3.5,5,0,10
30,2207,bachelor's degree,77114.0,4.0,3.3,5,0,10
26,1846,some college,77271.0,3.4,3.4,8,0,16
31,2163,some college,76445.0,4.0,3.3,5,0,10
28,1924,some high school,44724.0,3.6,2.9,6,0,12
29,1985,bachelor's degree,65944.0,3.8,3.3,4,0,8
33,2149,high school,53977.0,4.0,3.6,5,0,10
31,2112,bachelor's degree,97815.0,4.0,3.4,6,0,12
31,2080,some college,63996.0,4.0,3.6,3,0,6
32,2155,associate's degree,62304.0,4.0,3.4,5,0,10
26,1837,high school,71226.0,3.4,3.2,5,0,10
28,2002,bachelor's degree,79155.0,3.8,3.1,7,0,14
34,2242,high school,89887.0,4.0,3.8,4,0,8
33,2171,associate's degree,59147.0,4.0,3.4,5,0,10
32,2234,some college,30658.0,4.0,3.0,10,0,20
27,1930,some college,59443.0,3.6,3.2,4,0,8
32,2117,associate's degree,94415.0,4.0,3.8,4,0,8
32,2034,some high school,31713.0,3.9,3.2,8,0,16
34,2268,bachelor's degree,93832.0,4.0,3.8,6,0,12
